,,Resp. Time,Cost,Availability,Usability,Security,Flexibility
,User,302.75,126,99.99,30,10,10
1,Service,482,165,99.5,30,50,10
2,Service,3321.4,209,99.99,10,30,10
3,Service,126.17,265,99.8,10,30,30
4,Service,107,180,99,30,10,10
5,Service,107.57,86,99.95,50,30,50
6,Service,255,166,99.99,50,50,30
7,Service,136.71,120,99.5,30,50,50
8,Service,102.62,155,99.5,50,10,10
9,Service,93.37,209,99.999,30,50,50
10,Service,133,269,99.999,10,50,50
11,Service,221.48,165,99.999,50,30,30
12,Service,114,269,99,50,10,10
13,Service,269.83,249,90,30,50,50
14,Service,134.07,121,99.95,30,50,30
15,Service,67.5,241,99.8,30,50,30
16,Service,131.57,234,99.5,50,50,30
17,Service,213.2,230,99.5,10,50,50
18,Service,1360,154,99.95,50,10,50
19,Service,108,92,99.5,10,30,50
20,Service,50,285,99.999,50,50,10
21,Service,1069.5,225,99.95,30,10,10
22,Service,132,172,99.5,30,10,30
23,Service,265.09,262,99.999,10,50,30
24,Service,124.17,230,99.95,50,10,10
25,Service,408.21,167,99,50,30,50
26,Service,259,127,99.95,10,50,10
27,Service,408,133,99.8,30,30,30
28,Service,173,229,99.99,50,30,30
29,Service,320.48,102,99.8,50,30,50
30,Service,128.31,275,99.999,10,50,30
31,Service,149.67,276,99.99,10,10,50
32,Service,672.2,54,99.5,50,10,10
33,Service,59.58,80,99.8,30,30,10
34,Service,499,110,99.8,10,50,30
35,Service,1334,117,99.999,50,30,10
36,Service,229.75,275,99.5,30,50,30
37,Service,266.83,213,99.95,10,50,50
38,Service,49.43,194,90,10,50,10
39,Service,64.96,186,99.5,50,30,50
40,Service,106.75,280,99.999,10,10,50
41,Service,580.5,273,99,10,50,50
42,Service,205,82,99.8,50,10,50
43,Service,294.5,156,90,50,10,50
44,Service,113.25,209,99.8,30,30,30
45,Service,68.91,57,99,50,30,50
46,Service,184.67,232,99.95,30,50,10
47,Service,131.25,104,99,50,30,10
48,Service,142.5,236,99,10,30,50
49,Service,141.77,260,99.8,50,50,30
50,Service,269.09,182,99.95,50,50,30
51,Service,227,193,99,10,30,30
52,Service,511.25,74,90,30,10,50
53,Service,173,175,90,50,10,50
54,Service,645,150,99,10,30,50
55,Service,300.12,134,90,10,10,30
56,Service,1035,207,99.99,30,10,30
57,Service,515.2,243,99,50,10,50
58,Service,430.5,138,99.99,10,30,10
59,Service,205.33,110,90,50,50,30
60,Service,262.5,173,99.99,10,10,10
61,Service,451,150,99.99,30,30,50
62,Service,207,206,90,30,10,10
63,Service,115,270,90,30,50,10
